,track.name,name,song_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
229,Love Yourself,Justin Bieber,50kpGaPAhYJ3sGmk6vplg0,0.609,0.378,4.0,-9.828,1.0,0.438,0.835,0.0,0.28,0.515,100.418,audio_features,50kpGaPAhYJ3sGmk6vplg0,spotify:track:50kpGaPAhYJ3sGmk6vplg0,https://api.spotify.com/v1/tracks/50kpGaPAhYJ3sGmk6vplg0,https://api.spotify.com/v1/audio-analysis/50kpGaPAhYJ3sGmk6vplg0,233720.0,4.0
230,Sorry,Justin Bieber,09CtPGIpYB4BrO8qb1RGsF,0.654,0.76,0.0,-3.669,0.0,0.045,0.0797,0.0,0.299,0.41,99.945,audio_features,09CtPGIpYB4BrO8qb1RGsF,spotify:track:09CtPGIpYB4BrO8qb1RGsF,https://api.spotify.com/v1/tracks/09CtPGIpYB4BrO8qb1RGsF,https://api.spotify.com/v1/audio-analysis/09CtPGIpYB4BrO8qb1RGsF,200787.0,4.0
231,Purpose,Justin Bieber,2IjyFRCRn8x1bEquOM3vxg,0.481,0.285,0.0,-10.848,1.0,0.0424,0.9,0.0,0.123,0.316,130.029,audio_features,2IjyFRCRn8x1bEquOM3vxg,spotify:track:2IjyFRCRn8x1bEquOM3vxg,https://api.spotify.com/v1/tracks/2IjyFRCRn8x1bEquOM3vxg,https://api.spotify.com/v1/audio-analysis/2IjyFRCRn8x1bEquOM3vxg,210160.0,4.0
232,Get Used To It,Justin Bieber,4AMnUGvZUVJgDuY7rOPzUZ,0.687,0.705,9.0,-8.453,0.0,0.0522,0.0339,0.0,0.164,0.449,110.048,audio_features,4AMnUGvZUVJgDuY7rOPzUZ,spotify:track:4AMnUGvZUVJgDuY7rOPzUZ,https://api.spotify.com/v1/tracks/4AMnUGvZUVJgDuY7rOPzUZ,https://api.spotify.com/v1/audio-analysis/4AMnUGvZUVJgDuY7rOPzUZ,238133.0,4.0
233,Heartbreaker,Justin Bieber,2GCKWEsbb0Xo1oodTOKVi1,0.568,0.517,6.0,-7.316,0.0,0.0894,0.146,0.0,0.343,0.578,104.443,audio_features,2GCKWEsbb0Xo1oodTOKVi1,spotify:track:2GCKWEsbb0Xo1oodTOKVi1,https://api.spotify.com/v1/tracks/2GCKWEsbb0Xo1oodTOKVi1,https://api.spotify.com/v1/audio-analysis/2GCKWEsbb0Xo1oodTOKVi1,262840.0,4.0
234,Somebody To Love,Justin Bieber,3rLIv187BhjyweFe89SgLn,0.714,0.833,5.0,-5.239,1.0,0.0259,0.00249,0.0,0.298,0.663,129.964,audio_features,3rLIv187BhjyweFe89SgLn,spotify:track:3rLIv187BhjyweFe89SgLn,https://api.spotify.com/v1/tracks/3rLIv187BhjyweFe89SgLn,https://api.spotify.com/v1/audio-analysis/3rLIv187BhjyweFe89SgLn,220920.0,4.0
235,Home To Mama,Justin Bieber,1qXDjWPzxa02VClFJmu6nx,0.688,0.296,2.0,-11.064,1.0,0.0872,0.95,0.000166,0.115,0.478,89.091,audio_features,1qXDjWPzxa02VClFJmu6nx,spotify:track:1qXDjWPzxa02VClFJmu6nx,https://api.spotify.com/v1/tracks/1qXDjWPzxa02VClFJmu6nx,https://api.spotify.com/v1/audio-analysis/1qXDjWPzxa02VClFJmu6nx,203267.0,4.0
236,Home To Mama,Cody Simpson,1qXDjWPzxa02VClFJmu6nx,0.688,0.296,2.0,-11.064,1.0,0.0872,0.95,0.000166,0.115,0.478,89.091,audio_features,1qXDjWPzxa02VClFJmu6nx,spotify:track:1qXDjWPzxa02VClFJmu6nx,https://api.spotify.com/v1/tracks/1qXDjWPzxa02VClFJmu6nx,https://api.spotify.com/v1/audio-analysis/1qXDjWPzxa02VClFJmu6nx,203267.0,4.0
237,2U,David Guetta,762UXiwEHYY97VL45sAUPR,0.551,0.651,8.0,-5.828,0.0,0.0594,0.225,0.0,0.224,0.562,144.875,audio_features,762UXiwEHYY97VL45sAUPR,spotify:track:762UXiwEHYY97VL45sAUPR,https://api.spotify.com/v1/tracks/762UXiwEHYY97VL45sAUPR,https://api.spotify.com/v1/audio-analysis/762UXiwEHYY97VL45sAUPR,194907.0,4.0
238,Despacito (Featuring Daddy Yankee),Luis Fonsi,7CUYHcu0RnbOnMz4RuN07w,0.659,0.802,2.0,-4.79,1.0,0.148,0.208,0.0,0.123,0.863,177.936,audio_features,7CUYHcu0RnbOnMz4RuN07w,spotify:track:7CUYHcu0RnbOnMz4RuN07w,https://api.spotify.com/v1/tracks/7CUYHcu0RnbOnMz4RuN07w,https://api.spotify.com/v1/audio-analysis/7CUYHcu0RnbOnMz4RuN07w,228200.0,4.0
